# z mu sigma
0.135542 14.097661 0.101579
0.195783 14.989163 0.101187
0.286145 15.648395 0.101530
0.376506 16.588708 0.102241
0.406627 16.811102 0.102486
0.436747 16.888647 0.102797
0.466867 17.165244 0.073126
0.496988 17.377048 0.051899
0.527108 17.354925 0.104412
0.587349 17.718756 0.039715
0.647590 18.046250 0.075226
0.677711 18.064358 0.047719
0.707831 18.283771 0.037959
0.737952 18.397008 0.062326
0.798193 18.623961 0.077269
0.828313 18.702994 0.049135
0.858434 18.623477 0.063859
0.888554 18.782178 0.064138
0.918675 18.910035 0.035437
0.948795 19.041784 0.056425
0.978916 19.183178 0.050854
1.009036 19.233013 0.051107
1.039157 19.331114 0.081596
1.069277 19.409353 0.057985
1.099398 19.441744 0.044106
1.129518 19.397780 0.067938
1.159639 19.653639 0.059392
1.189759 19.618025 0.059691
1.219880 19.806639 0.069530
1.250000 19.797786 0.045920
1.280120 19.799038 0.061184
1.310241 19.990150 0.050373
1.340361 19.913054 0.050695
1.370482 19.950258 0.044289
1.400602 20.058951 0.063093
1.430723 20.105501 0.063640
1.460843 20.345770 0.090701
1.490964 20.217080 0.043102
1.521084 20.336293 0.041235
1.551205 20.402955 0.092769
1.581325 20.345513 0.054245
1.611446 20.418908 0.050569
1.641566 20.470511 0.050932
1.671687 20.591989 0.042949
1.701807 20.581796 0.039595
1.731928 20.552663 0.048854
1.762048 20.677313 0.042017
1.792169 20.731733 0.049640
1.822289 20.728637 0.047182
1.852410 20.851126 0.053929
1.882530 20.752250 0.048016
1.912651 20.847872 0.036254
1.942771 20.934651 0.037806
1.972892 21.002848 0.040937
2.003012 21.052602 0.042954
2.033133 20.976775 0.045237
2.063253 21.122819 0.043678
2.093373 21.158485 0.048233
2.123494 21.160533 0.054396
2.153614 21.217275 0.051688
2.183735 21.214951 0.049445
2.213855 21.262856 0.045484
2.243976 21.275602 0.044026
2.274096 21.356627 0.044367
2.304217 21.398037 0.051075
2.334337 21.436221 0.041996
2.364458 21.414012 0.054684
2.394578 21.574052 0.049839
2.424699 21.530227 0.043005
2.454819 21.603702 0.042018
2.484940 21.643174 0.048923
