# z mu sigma
0.133565 14.097661 0.101579
0.197697 14.989163 0.101187
0.288428 15.648395 0.101530
0.372218 16.588708 0.102241
0.395506 16.811102 0.102486
0.422801 16.888647 0.102797
0.461865 17.198546 0.103283
0.481844 17.131769 0.103550
0.487352 17.362309 0.103626
0.498890 17.386692 0.103787
0.505929 17.377130 0.103888
0.506134 17.382118 0.103891
0.541144 17.354925 0.104412
0.575445 17.630977 0.104957
0.575838 17.814370 0.104963
0.579109 17.712999 0.105017
0.579700 17.761602 0.105027
0.582420 17.655774 0.105071
0.585094 17.625625 0.105116
0.600458 17.830468 0.105374
0.655468 18.009995 0.106351
0.659155 18.082551 0.106420
0.670042 18.071377 0.106624
0.670373 17.984508 0.106630
0.673648 18.112136 0.106692
0.676083 18.034771 0.106738
0.680788 18.119198 0.106828
0.694463 18.071020 0.107092
0.697421 18.454173 0.107150
0.704040 18.209189 0.107280
0.707226 18.263174 0.107343
0.713542 18.446831 0.107468
0.715977 18.136312 0.107517
0.716537 18.251923 0.107528
0.717432 18.438392 0.107546
0.725004 18.161795 0.107699
0.741264 18.562399 0.108031
0.746004 18.468414 0.108129
0.786068 18.472836 0.108981
0.812915 18.776732 0.109573
0.816751 18.562000 0.109659
0.821155 18.675883 0.109758
0.828052 18.619210 0.109914
0.829585 18.838526 0.109949
0.835068 18.820513 0.110074
0.845013 18.621693 0.110302
0.861594 18.787189 0.110688
0.867776 18.461134 0.110834
0.874237 18.827897 0.110987
0.876801 18.674336 0.111048
0.884731 18.844464 0.111238
0.903639 18.701305 0.111695
0.903853 18.920368 0.111701
0.908046 18.706522 0.111803
0.910599 18.796537 0.111866
0.912775 18.800036 0.111919
0.925939 19.102605 0.112245
0.926640 18.813128 0.112263
0.929279 19.101030 0.112329
0.931742 19.075746 0.112390
0.932243 19.089241 0.112403
0.939010 19.157464 0.112573
0.949614 18.932948 0.112841
0.953586 19.060922 0.112942
0.957764 19.015187 0.113049
0.970805 19.248461 0.113384
0.980964 19.075938 0.113648
0.981934 19.155884 0.113673
0.990002 19.196153 0.113884
0.993380 19.239513 0.113973
0.994749 19.178282 0.114009
0.996203 19.061796 0.114047
1.003282 19.176229 0.114235
1.011588 19.430916 0.114456
1.018807 19.320012 0.114649
1.045704 19.268669 0.115378
1.046829 19.393592 0.115409
1.054265 19.400393 0.115613
1.064108 19.368340 0.115885
1.069097 19.343333 0.116024
1.081071 19.526181 0.116359
1.084473 19.380416 0.116455
1.085994 19.464108 0.116497
1.086634 19.418680 0.116515
1.092180 19.516570 0.116672
1.092967 19.540642 0.116694
1.097048 19.378391 0.116810
1.111320 19.393059 0.117217
1.117336 19.391453 0.117390
1.125808 19.400843 0.117634
1.138264 19.401091 0.117996
1.160679 19.827552 0.118654
1.163905 19.518163 0.118749
1.167110 19.535621 0.118844
1.168537 19.732934 0.118887
1.177062 19.586361 0.119141
1.179015 19.643269 0.119199
1.187755 19.750669 0.119461
1.196726 19.491288 0.119731
1.209539 19.835647 0.120120
1.216913 19.756043 0.120345
1.232633 19.828290 0.120827
1.236605 19.668718 0.120950
1.251036 19.804800 0.121398
1.253158 19.716805 0.121464
1.255851 19.763285 0.121548
1.258746 19.837209 0.121638
1.259722 19.835691 0.121669
1.263515 19.960143 0.121788
1.273044 19.692714 0.122087
1.273294 19.838090 0.122095
